 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 And XVIII                	 000214.5+450520 	-3	1.31	6.44	 <6.65  	 <-5.84   	 <-5.97  	26.8	0.54	1.54
 PAndAS-03                	 000356.4+405319 	-3	0.78	4.38	        	 <-6.35   	         	27.8	2.78	1.75
 PAndAS-04                	 000442.9+472142 	-3	0.78	5.59	        	-5.67	 <-6.82  	23.1	2.49	1.75
 PAndAS-05                	 000524.1+435535 	-3	0.78	4.75	        	 <-6.38   	         	25.6	2.77	1.75
 And XX                   	 000730.7+350756 	-3	0.8	5.26	        	-5.96	 <-6.34  	27	2.43	1.75
 NGC0059                  	 001525.1-212638 	-3	4.9	8.66	7.34	-2.27	-1.98	23.3	-0.37	-1.44
 And XIX                  	 001932.1+350237 	-3	0.93	6.8	        	 <-6.27   	 <-6.25  	31.2	1.89	1.75
 And XXVI                 	 002345.6+475458 	-3	0.76	5.02	        	 <-6.30   	 <-6.36  	29.6	2.77	1.75
 Sc22                     	 002351.7-244218 	-3	4.29	7.15	 <5.00  	-5	 <-5.56  	26.2	0.49	1.77
 And XXV                  	 003008.9+465107 	-3	0.81	6.38	        	 <-6.28   	 <-6.38  	28.5	2.87	1.75
 NGC0147                  	 003311.6+483028 	-3	0.76	8.21	 <3.74  	 <-6.09   	-6.33	24.3	2.76	1.75
 And III                  	 003533.8+362952 	-3	0.75	6.5	 <5.55  	 <-6.59   	-6.21	27.1	3.23	1.75
 Cas III                  	 003559.4+513335 	-3	0.78	7.56	        	          	 <-6.35  	27.6	2.33	1.75
 And XXX                  	 003634.9+493848 	-3	0.68	5.94	        	          	 <-6.52  	28.1	2.32	1.75
 And XXVII                	 003727.1+452313 	-3	0.83	5.88	        	 <-6.32   	 <-6.42  	28.3	3.05	1.75
 NGC0185                  	 003858.0+482010 	-3	0.66	8.36	5.08	          	-4.73	23.8	2.33	1.75
 And I                    	 004540.0+380214 	-3	0.73	7.17	 <5.53  	-6.16	-6.54	27	3.42	1.75
