   Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 PiscesII                 	 225831.0+055709 	-3	0.18	4.7	        	-7.56	-7.5	27	1.82	1.75
 NGC6822                  	 194457.7-144811 	10	0.52	8.38	8.19	-1.78	-1.9	23.7	0.46	1.73
 And II                   	 011629.8+332509 	-3	0.65	7.33	 <5.44  	-6.05	-6.63	27	2.03	1.75
 And XI                   	 004620.0+334805 	-3	0.73	5.22	 <5.53  	-5.71	-5.75	27.9	2.7	1.75
 And I                    	 004540.0+380214 	-3	0.73	7.17	 <5.53  	-6.16	-6.54	27	3.42	1.75
 LeoA                     	 095926.4+304447 	10	0.74	6.86	6.97	-3.29	-4.1	25.3	-0.03	1.35
 And XVII                 	 003707.0+441920 	-2	0.74	5.78	 <5.54  	-5.71	-5.57	28.3	3.65	1.75
 IC1613                   	 010447.8+020800 	10	0.76	8.1	7.8	-2.04	-2.35	24.8	0.63	1.75
 MESSIER031               	 004244.5+411609 	3	0.77	10.73	9.73	-0.01	-0.27	23.1	3.08	1.42
 MESSIER032               	 004242.1+405159 	-2	0.79	9.09	 <6.42  	-3.59	-5.88	22	4.72	1.75
 And IX                   	 005252.8+431200 	-3	0.79	6.24	 <5.60  	-6.22	-6.87	28.1	3.98	1.75
 MESSIER033               	 013350.8+303937 	6	0.93	9.62	9.4	-0.25	-0.35	23.7	1.47	1.73
 Pegasus                  	 232834.1+144448 	10	0.97	7.35	6.74	-3.54	-4.37	25.3	0.67	1.75
 WLM                      	 000158.1-152740 	9	0.98	7.7	7.84	-2.23	-2.68	24.8	-0.04	1.75
 DDO210                   	 204651.8-125053 	10	0.98	6.78	6.46	-3.86	-5.34	24.6	-0.35	1.35
 Sag dIr                  	 192959.0-174041 	10	1.08	6.55	6.97	-3.11	-4.04	24.7	-0.5	-0.85
 NGC3109                  	 100307.2-260936 	8	1.34	8.58	8.38	-1.37	-1.76	25	-0.33	-1.22
 UGC04879                 	 091602.2+525024 	9	1.37	6.99	5.99	-3.28	-4.33	24.9	-0.67	-2.39
 SexB                     	 100000.1+051956 	10	1.43	7.83	7.71	-2.37	-2.88	24.3	-0.88	-0.62
 SexA                     	 101100.8-044134 	10	1.45	7.57	7.9	-1.92	-2.33	24.2	-0.89	-0.59
 IC5152                   	 220241.9-511743 	9	1.96	8.71	8.01	-1.55	-2.23	23.8	-1.2	0.24
 ESO294-010               	 002633.3-415120 	10	2.03	6.3	5.52	-3.81	-4.28	25	1.03	0.54
 NGC0300                  	 005453.5-374057 	7	2.09	9.41	9.32	-0.56	-0.78	24.4	0.13	0.23
 NGC0055                  	 001508.5-391313 	8	2.11	9.48	9.44	-0.22	-0.36	24.6	0.05	0.24
