Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-3.7958826965903136,0.98,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-6.326236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-4.376236082520881,0.48,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-5.956236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-4.654245313917955,0.48,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-0.1182427697904802,0.36,34896.930287370196,0.0033143470031631677,4.9,0.0004986517467064262
And XIX,-3.723459390793972,0.98,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-5.708798103340261,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-2.9082427697904807,0.48,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-4.2734552501445435,0.98,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-4.14879810334026,0.48,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-4.490302761118443,0.48,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-3.1062360825208817,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-4.86540746248937,0.98,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-4.752269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-3.021337416818105,0.48,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-4.64377956766093,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-4.373779567660931,0.36,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-5.212269103149695,0.98,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-3.3382427697904804,0.98,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-4.881744188994679,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-4.31377956766093,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-5.211866715778079,0.98,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-4.875171105320959,0.36,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-5.98279758313441,0.98,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-4.818418600632244,0.48,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-7.851940269023193,0.48,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-5.416236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-4.33174418899468,0.48,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-5.826236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-4.493455250144543,0.48,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-4.6787981033402595,0.98,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-4.714598574616131,0.36,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-5.194122787134555,0.98,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-5.836236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-4.916236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-4.665171105320959,0.48,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-5.676236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-5.536236082520881,0.98,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-4.373779567660931,0.48,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-9.376182778462518,0.48,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 3,-9.081940269023193,0.98,125.62894903453277,9.824379203203415,0.09,0.0
[KK2000] 03,-2.5082427697904803,0.98,34896.930287370196,0.019894367886486918,2.0,0.0
Fornax,-6.558169216545367,0.48,303.9910371699805,4.06007507887488,0.14,0.0
Horologium 1,-8.644245313917954,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Horologium 2,-8.934245313917955,0.98,99.26237948407527,12.433979929054322,0.08,0.0
Reticulum 2,-9.766182778462516,0.98,13.958772114948081,88.41941282883074,0.03,0.0
Eridanus 2,-6.077820286367268,0.98,2010.0631845525243,0.6140237002002135,0.36,0.0
