Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
And XVIII,-6.48053132714369,1.13,26616.276473847127,0.046371115637752855,1.31,0.0
PAndAS-03,-9.020884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-04,-6.840884713074258,0.78,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-05,-8.640884713074257,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XX,-7.1088939444713315,0.78,9926.237948407523,0.12433979929054323,0.8,0.0
NGC0059,-2.4328914003438564,0.78,34896.930287370196,0.0033143470031631677,4.9,0.0
And XIX,-6.418108021347348,1.13,13414.38000246511,0.09200771366163447,0.93,0.0
And XXVI,-8.393446733893636,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
Sc22,-5.582891400343856,0.78,34896.930287370196,0.004323899106500599,4.29,0.0
And XXV,-6.958103880697919,1.13,10175.944871797152,0.12128863213831377,0.81,0.0
NGC0147,-7.373446733893636,0.78,8958.429748437791,0.1377726307928457,0.76,0.0
And III,-7.2649513916718185,0.78,8724.232571842549,0.1414710605261292,0.75,0.0
Cas III,-5.800884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXX,-7.560056093042746,1.13,7171.706917724439,0.17209660801459267,0.68,0.0
And XXVII,-7.446917733703072,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
NGC0185,-5.895986047371482,0.78,6756.045703634873,0.18268473724965026,0.66,0.0
And I,-7.618428198214307,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XI,-6.828428198214307,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XII,-7.906917733703072,1.13,10684.664566653038,0.11551382137603089,0.83,0.0
Scl-MM-Dw1,-6.032891400343856,1.13,34896.930287370196,0.005126225330847721,3.94,0.0
Bol520,-7.456392819548055,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
And XIV,-6.898428198214307,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
And XIII,-7.906515346331456,1.13,10943.677338119296,0.11277986330208004,0.84,0.0
And IX,-7.879819735874336,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-48,-8.667446213687786,1.13,10428.753744545655,0.11834841098445521,0.82,0.0
And XVI,-7.33306723118562,0.78,4193.835533202181,0.294295382936197,0.52,0.0
Sculptor,-11.21658889957657,0.78,125.62894903453277,9.824379203203415,0.09,0.0
PAndAS-50,-8.110884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And X,-6.716392819548055,0.78,6155.818502692104,0.20049753475925342,0.63,0.0
PAndAS-C02,-8.510884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And V,-7.2881038806979195,0.78,10175.944871797152,0.12128863213831377,0.81,0.0
And XV,-7.373446733893636,1.13,8958.429748437791,0.1377726307928457,0.76,0.0
And II,-7.809247205169507,0.78,6552.868020628406,0.18834904507916608,0.65,0.0
And XXIV,-7.878771417687931,1.13,5583.508845979233,0.22104853207207686,0.6,0.0
PAndAS-55,-8.520884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-56,-7.600884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXII,-7.129819735874336,0.78,9679.632974376776,0.12750756536764565,0.79,0.0
PAndAS-57,-8.360884713074258,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
PAndAS-58,-8.230884713074257,1.13,9436.129949704902,0.13079794797164312,0.78,0.0
And XXIII,-7.128428198214307,0.78,8265.144066728702,0.1493290890334916,0.73,0.0
Segue 2,-11.980831409015895,0.78,13.958772114948081,88.41941282883074,0.03,0.0
